imovel,disponível,valor_venda,valor_aluguel,região,n_quartos
Apartamento Central,Sim,500000,2500,Centro,2
Casa Suburbana,Não,350000,1500,Subúrbio,3
Kitnet Universitária,Sim,150000,800,Universitário,1
Apartamento Luxo,Sim,800000,3500,Luxo,3
Casa de Praia,Sim,600000,2000,Beira-mar,4
Cobertura Penthouse,Não,1200000,5000,Centro,4
Apartamento Familiar,Sim,300000,1200,Subúrbio,3
Casa Campo,Sim,200000,1000,Campo,2
Loft Moderno,Sim,350000,1600,Centro,2
Chácara Verde,Sim,250000,1300,Interior,3
Estúdio Minimalista,Sim,180000,950,Centro,1
Cobertura Duplex,Sim,950000,4200,Luxo,4
Apartamento Compacto,Sim,200000,950,Centro,1
Casa de Campo com Lago,Sim,450000,1800,Campo,3
Apartamento de Família Grande,Sim,550000,2200,Subúrbio,4
Loft Histórico,Sim,400000,1700,Centro Histórico,2
Casa de Veraneio,Sim,700000,2300,Beira-mar,4
Apartamento Estilo Industrial,Sim,300000,1400,Centro,2
Chalé de Montanha,Sim,320000,1500,Montanha,2
Casa de Fazenda,Sim,500000,1900,Fazenda,3
Estúdio de Luxo,Sim,350000,1750,Luxo,1
Apartamento Padrão,Sim,250000,1100,Centro,2
Casa em Condomínio Fechado,Sim,600000,2200,Subúrbio,4
